2022-04-07 19:23:45,265 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization started
2022-04-07 19:23:45,971 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/login.html'], []
2022-04-07 19:23:46,298 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.SecurityContextPersistenceFilter@11cd6c61, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@443f4982, org.springframework.security.web.header.HeaderWriterFilter@5833783b, org.springframework.security.web.authentication.logout.LogoutFilter@7de1c02c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7b50595, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@39f83fb8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7a497a1c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9da25d9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@266c00da, org.springframework.security.web.session.SessionManagementFilter@5e11ee50, org.springframework.security.web.access.ExceptionTranslationFilter@6f39f614, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3795e2c7]
2022-04-07 19:23:46,315 [localhost-startStop-1] INFO  org.springframework.security.config.http.DefaultFilterChainValidator - Checking whether login URL '/login.html' is accessible with your configuration
2022-04-07 19:23:46,523 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/add]}" onto public java.lang.String com.wxiang.controller.HelloController.add()
2022-04-07 19:23:46,524 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/delete]}" onto public java.lang.String com.wxiang.controller.HelloController.delete()
2022-04-07 19:23:46,673 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:23:45 CST 2022]; root of context hierarchy
2022-04-07 19:23:46,764 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:23:45 CST 2022]; root of context hierarchy
2022-04-07 19:23:47,138 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization completed in 1873 ms
2022-04-07 19:24:59,700 [http-bio-84-exec-10] INFO  com.wxiang.controller.HelloController - =====进入add方法=====
2022-04-07 19:25:04,669 [http-bio-84-exec-10] INFO  com.wxiang.controller.HelloController - =====进入add方法=====
2022-04-07 19:25:10,205 [http-bio-84-exec-10] INFO  com.wxiang.controller.HelloController - =====进入delete方法=====
2022-04-07 19:26:04,337 [http-bio-84-exec-10] INFO  com.wxiang.controller.HelloController - =====进入delete方法=====
2022-04-07 19:26:16,946 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization started
2022-04-07 19:26:16,966 [localhost-startStop-1] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:16 CST 2022]; root of context hierarchy
2022-04-07 19:26:16,999 [localhost-startStop-1] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-security.xml]
2022-04-07 19:26:17,110 [localhost-startStop-1] INFO  org.springframework.security.config.SecurityNamespaceHandler - Spring Security 'config' module version is 5.0.5.RELEASE
2022-04-07 19:26:17,151 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'isAuthenticated()' for /pages/a.html
2022-04-07 19:26:17,151 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasAuthority('add')' for /pages/b.html
2022-04-07 19:26:17,151 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('ADMIN')' for /pages/c.html
2022-04-07 19:26:17,151 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('ROLE_ADMIN')' for /**
2022-04-07 19:26:17,175 [localhost-startStop-1] INFO  org.springframework.security.config.http.HttpSecurityBeanDefinitionParser - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 800, <org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0>, order = 1200, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#0; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 1800, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2200, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2300, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2400]
2022-04-07 19:26:17,288 [localhost-startStop-1] INFO  org.springframework.security.config.method.GlobalMethodSecurityBeanDefinitionParser - Expressions were enabled for method security but no SecurityExpressionHandler was configured. All hasPermision() expressions will evaluate to false.
2022-04-07 19:26:17,419 [localhost-startStop-1] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2022-04-07 19:26:17,567 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/login.html'], []
2022-04-07 19:26:17,953 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.SecurityContextPersistenceFilter@dff0eaf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@793db19b, org.springframework.security.web.header.HeaderWriterFilter@1a65e7fe, org.springframework.security.web.authentication.logout.LogoutFilter@35a2c639, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@405d2c54, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5478ecad, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6117abcb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42273ade, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b319142, org.springframework.security.web.session.SessionManagementFilter@78bf150d, org.springframework.security.web.access.ExceptionTranslationFilter@242aa022, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5f208fb3]
2022-04-07 19:26:17,970 [localhost-startStop-1] INFO  org.springframework.security.config.http.DefaultFilterChainValidator - Checking whether login URL '/login.html' is accessible with your configuration
2022-04-07 19:26:18,165 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/add]}" onto public java.lang.String com.wxiang.controller.HelloController.add()
2022-04-07 19:26:18,167 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/delete]}" onto public java.lang.String com.wxiang.controller.HelloController.delete()
2022-04-07 19:26:18,337 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:16 CST 2022]; root of context hierarchy
2022-04-07 19:26:18,438 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:16 CST 2022]; root of context hierarchy
2022-04-07 19:26:18,874 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization completed in 1928 ms
2022-04-07 19:26:34,657 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization started
2022-04-07 19:26:34,674 [localhost-startStop-1] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:34 CST 2022]; root of context hierarchy
2022-04-07 19:26:34,703 [localhost-startStop-1] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-security.xml]
2022-04-07 19:26:34,810 [localhost-startStop-1] INFO  org.springframework.security.config.SecurityNamespaceHandler - Spring Security 'config' module version is 5.0.5.RELEASE
2022-04-07 19:26:34,852 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'isAuthenticated()' for /pages/a.html
2022-04-07 19:26:34,852 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasAuthority('add')' for /pages/b.html
2022-04-07 19:26:34,852 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('ADMIN')' for /pages/c.html
2022-04-07 19:26:34,853 [localhost-startStop-1] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('ROLE_ADMIN')' for /**
2022-04-07 19:26:34,875 [localhost-startStop-1] INFO  org.springframework.security.config.http.HttpSecurityBeanDefinitionParser - Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 800, <org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0>, order = 1200, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#0; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 1800, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2200, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2300, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2400]
2022-04-07 19:26:34,989 [localhost-startStop-1] INFO  org.springframework.security.config.method.GlobalMethodSecurityBeanDefinitionParser - Expressions were enabled for method security but no SecurityExpressionHandler was configured. All hasPermision() expressions will evaluate to false.
2022-04-07 19:26:35,125 [localhost-startStop-1] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2022-04-07 19:26:35,291 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/login.html'], []
2022-04-07 19:26:35,682 [localhost-startStop-1] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.SecurityContextPersistenceFilter@7cb21372, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@48e2e6c9, org.springframework.security.web.header.HeaderWriterFilter@b5948b0, org.springframework.security.web.authentication.logout.LogoutFilter@173880f2, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7bfd28e4, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@24f64dfc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@652b9d1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36c7ae5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@246f1a69, org.springframework.security.web.session.SessionManagementFilter@32602ab5, org.springframework.security.web.access.ExceptionTranslationFilter@b1ab2ae, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a440d6]
2022-04-07 19:26:35,697 [localhost-startStop-1] INFO  org.springframework.security.config.http.DefaultFilterChainValidator - Checking whether login URL '/login.html' is accessible with your configuration
2022-04-07 19:26:35,893 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/add]}" onto public java.lang.String com.wxiang.controller.HelloController.add()
2022-04-07 19:26:35,894 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/hello/delete]}" onto public java.lang.String com.wxiang.controller.HelloController.delete()
2022-04-07 19:26:36,045 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:34 CST 2022]; root of context hierarchy
2022-04-07 19:26:36,135 [localhost-startStop-1] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: WebApplicationContext for namespace 'springmvc-servlet': startup date [Thu Apr 07 19:26:34 CST 2022]; root of context hierarchy
2022-04-07 19:26:36,472 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springmvc': initialization completed in 1814 ms
2022-04-07 19:27:00,154 [http-bio-84-exec-6] INFO  com.wxiang.controller.HelloController - =====进入delete方法=====
